Count,Noun,Verb,Letter,adjective,morphological,The,diacritic
4,1,0,0,0,2,0,2
5,1,0,0,0,2,0,3
5,1,0,0,0,2,0,1
4,1,0,0,0,2,0,1
3,2,0,0,0,1,0,2
3,2,0,0,0,1,0,2
4,2,0,0,0,1,0,2
4,2,0,0,0,1,0,3
5,2,0,0,0,1,0,2
2,0,0,1,0,1,0,1
3,0,0,1,0,1,0,2
4,0,1,0,0,2,0,1
5,6,0,0,0,1,1,1
7,6,0,0,0,1,1,1
6,6,0,0,0,1,1,1
5,6,0,0,0,6,0,1
6,6,0,0,0,6,0,2
5,0,3,0,0,2,0,2
4,0,3,0,0,2,0,2
